week,order_counterbalance,alien_counterbalance,set_counterbalance,tr_num,form_tr_num,condition,block,rep,name,target,sound1,sound2,sound3,correct_response
2,1,1,1,55,1,high,1,1,juss,L,juss,guss,vuss,0
2,1,1,1,56,2,low,1,1,sarl,R,farl,parl,sarl,2
2,1,1,1,57,3,high,2,1,pyzer,R,pyber,pyver,pyzer,2
2,1,1,1,58,4,low,2,1,foob,C,koob,foob,soob,1
2,1,1,1,59,5,high,1,1,koba,C,koga,koba,koza,1
2,1,1,1,60,6,low,2,1,modi,L,modi,mogi,movi,0
2,1,1,1,61,7,high,1,2,koba,R,koza,koga,koba,2
2,1,1,1,62,8,high,2,2,pyzer,L,pyzer,pyver,pyber,0
2,1,1,1,63,9,low,1,2,sarl,L,sarl,parl,farl,0
2,1,1,1,64,10,low,2,2,foob,R,soob,koob,foob,2
2,1,1,1,65,11,high,1,2,juss,C,vuss,juss,guss,1
2,1,1,1,66,12,low,2,2,modi,C,movi,modi,mogi,1
1,1,1,2,55,1,low,2,1,chev,R,chel,chez,chev,2
1,1,1,2,56,2,high,1,1,darg,L,darg,marg,barg,0
1,1,1,2,57,3,low,1,1,gazzer,L,gazzer,gavver,gammer,0
1,1,1,2,58,4,high,2,1,heab,C,hean,heab,heag,1
1,1,1,2,59,5,low,1,1,kulp,C,tulp,kulp,fulp,1
1,1,1,2,60,6,high,2,1,wilp,R,rilp,gilp,wilp,2
1,1,1,2,61,7,high,2,2,heab,L,heab,heag,hean,0
1,1,1,2,62,8,high,1,2,darg,R,barg,marg,darg,2
1,1,1,2,63,9,low,2,2,chev,C,chez,chev,chel,1
1,1,1,2,64,10,low,1,2,kulp,L,kulp,fulp,tulp,0
1,1,1,2,65,11,high,2,2,wilp,C,gilp,wilp,rilp,1
1,1,1,2,66,12,low,1,2,gazzer,R,gammer,gavver,gazzer,2