order,raw,rand1,block,rand2,tr_num,block_tr_num,condition,neighborhood,expected,type,audio,klatt,correct_response
2B,61,238,1,83,1,1,low,nez,known,real,noise,nOz,0
2B,79,210,1,324,2,2,low,wath,unknown,novel,woith,wOT,1
2B,56,146,1,356,3,3,low,vib,unknown,real,veer,vIr,0
2B,29,50,1,437,4,4,high,soog,known,real,soon,sun,0
2B,17,232,1,514,5,5,high,cuth,unknown,real,cull,k^l,0
2B,1,62,1,703,6,6,high,fidge,known,real,fire,fYr,0
2B,44,75,1,743,7,7,low,chouse,known,real,chow,CW,0
2B,28,10,1,979,8,8,high,meeb,unknown,novel,moob,mub,1
2B,70,307,2,134,9,1,low,wath,known,real,with,wIT,0
2B,50,34,2,235,10,2,low,chouse,unknown,novel,chowt,CWt,1
2B,54,308,2,315,11,3,low,vib,known,real,verb,vRb,0
2B,22,115,2,430,12,4,high,meeb,known,real,meat,mit,0
2B,8,111,2,648,13,5,high,fidge,unknown,real,fie,fY,0
2B,13,521,2,667,14,6,high,cuth,known,real,cut,k^t,0
2B,65,303,2,912,15,7,low,nez,unknown,real,knell,nEl,0
2B,35,73,2,950,16,8,high,soog,unknown,real,sooth,suT,0
2B,42,276,3,14,17,1,low,chouse,known,real,chess,CEs,0
2B,72,484,3,39,18,2,low,wath,known,real,math,m@T,0
2B,26,157,3,42,19,3,high,meeb,unknown,real,mead,mid,0
2B,36,222,3,176,20,4,high,soog,unknown,real,sue,su,0
2B,58,526,3,215,21,5,low,vib,unknown,real,jib,JIb,0
2B,14,619,3,253,22,6,high,cuth,known,real,cub,k^b,0
2B,59,307,3,593,23,7,low,nez,known,real,nose,noz,0
2B,7,141,3,619,24,8,high,fidge,unknown,real,fife,fYf,0
2B,34,366,4,26,25,1,high,soog,unknown,real,soothe,suD,0
2B,69,562,4,367,26,2,low,wath,known,real,bath,b@T,0
2B,18,521,4,501,27,3,high,cuth,unknown,real,kith,kIT,0
2B,23,177,4,602,28,4,high,meeb,known,real,meal,mil,0
2B,6,394,4,785,29,5,high,fidge,unknown,real,file,fYl,0
2B,67,316,4,982,30,6,low,nez,unknown,novel,nuzz,n^z,1
2B,51,645,4,994,31,7,low,vib,known,real,bib,bIb,0
2B,41,406,4,996,32,8,low,chouse,known,real,choice,COs,0
2B,4,736,5,303,33,1,high,fidge,known,real,fudge,f^J,0
2B,77,602,5,392,34,2,low,wath,unknown,novel,waith,weT,1
2B,24,321,5,473,35,3,high,meeb,unknown,real,mob,mab,0
2B,48,198,5,476,36,4,low,chouse,unknown,novel,choss,Cos,1
2B,12,636,5,509,37,5,high,cuth,known,real,cup,k^p,0
2B,60,470,5,509,38,6,low,nez,known,real,neck,nEk,0
2B,55,803,5,749,39,7,low,vib,unknown,real,nib,nIb,0
2B,31,391,5,990,40,8,high,soog,known,real,suit,sut,0
2B,45,739,6,190,41,1,low,chouse,unknown,real,louse,lWs,0
2B,74,684,6,378,42,2,low,wath,known,real,worth,wRT,0
2B,20,590,6,401,43,3,high,meeb,known,real,meow,miW,0
2B,9,853,6,517,44,4,high,fidge,unknown,novel,fedge,fEJ,1
2B,52,916,6,674,45,5,low,vib,known,real,rib,rIb,0
2B,16,716,6,686,46,6,high,cuth,unknown,real,cud,k^d,0
2B,30,636,6,751,47,7,high,soog,known,real,soup,sup,0
2B,66,586,6,765,48,8,low,nez,unknown,real,fez,fEz,0
2B,15,758,7,4,49,1,high,cuth,unknown,real,cuff,k^f,0
2B,47,974,7,9,50,2,low,chouse,unknown,novel,chuss,C^s,1
2B,53,941,7,182,51,3,low,vib,known,real,fib,fIb,0
2B,63,633,7,567,52,4,low,nez,known,real,net,nEt,0
2B,37,810,7,657,53,5,high,soog,unknown,novel,soom,sum,1
2B,5,844,7,700,54,6,high,fidge,known,real,fine,fYn,0
2B,75,709,7,745,55,7,low,wath,unknown,real,wrath,r@T,0
2B,19,639,7,802,56,8,high,meeb,known,real,me,mi,0
2B,11,886,8,39,57,1,high,cuth,known,real,come,k^m,0
2B,32,877,8,270,58,2,high,soog,known,real,sag,s@g,0
2B,68,729,8,312,59,3,low,nez,unknown,novel,nev,nEv,1
2B,49,993,8,364,60,4,low,chouse,unknown,novel,chowb,CWb,1
2B,25,651,8,369,61,5,high,meeb,unknown,real,meek,mik,0
2B,2,800,8,430,62,6,high,fidge,known,real,five,fYv,0
2B,73,960,8,454,63,7,low,wath,known,real,path,p@T,0
2B,57,990,8,616,64,8,low,vib,unknown,real,vim,vIm,0
2B,3,859,9,1,65,1,high,fidge,known,real,fight,fYt,0
2B,38,904,9,398,66,2,high,soog,unknown,novel,poog,pug,1
2B,43,911,9,642,67,3,low,chouse,known,real,chase,Ces,0
2B,21,660,9,783,68,4,high,meeb,known,real,mean,min,0
2B,64,751,9,797,69,5,low,nez,unknown,real,neb,nEb,0
2B,78,840,9,813,70,6,low,wath,unknown,novel,wat,w@t,1
2B,62,929,10,48,71,1,low,nez,known,real,news,nuz,0
2B,27,804,10,162,72,2,high,meeb,unknown,novel,mab,m@b,1
2B,10,892,10,204,73,3,high,fidge,unknown,novel,foudge,fWJ,1
2B,71,913,10,204,74,4,low,wath,known,real,wag,w@g,0
2B,46,913,10,736,75,5,low,chouse,unknown,real,souse,sWs,0
2B,33,975,10,814,76,6,high,soog,known,real,sewer,suX,0
2B,39,417,11,707,77,1,low,chouse,known,real,house,hWs,0
2B,80,926,11,777,78,2,low,wath,unknown,novel,wav,w@v,1
2B,76,778,12,130,79,1,low,wath,unknown,real,lath,l@T,0
2B,40,416,12,371,80,2,low,chouse,known,real,mouse,mWs,0